"Path","Exists","Tracked","Size","LastWriteTimeUtc","WorktreeHash","IndexHash","HeadHash","CurrentStatus","EolState"
"src/app/App.tsx","True","True","21121","2026-07-28T08:54:20.6034888Z","5c927061dc8451aa8134184bdef200ac4c7462de","48f885f145a45fd7838211eb44a03a63abda8266","48f885f145a45fd7838211eb44a03a63abda8266"," M","i/lf    w/mixed attr/                 	src/app/App.tsx"
"src/app/components/PageModuleHeader.tsx","True","True","1484","2026-07-26T06:56:36.7183113Z","b1c2738a439dc61888424ecdcca4e354829e7cab","b1c2738a439dc61888424ecdcca4e354829e7cab","b1c2738a439dc61888424ecdcca4e354829e7cab","","i/lf    w/mixed attr/                 	src/app/components/PageModuleHeader.tsx"
"src/app/components/PageWalkthrough.tsx","True","True","4960","2026-07-28T08:12:19.5716581Z","7047e94e419296b72cb2f14c06b759a902c25c57","7047e94e419296b72cb2f14c06b759a902c25c57","7047e94e419296b72cb2f14c06b759a902c25c57","","i/lf    w/crlf  attr/                 	src/app/components/PageWalkthrough.tsx"
"src/app/help/walkthroughs.ts","True","True","18871","2026-07-28T08:14:38.5789841Z","3d565f52dbdee3479b71e11f412a6e5f3c5f281a","3d565f52dbdee3479b71e11f412a6e5f3c5f281a","3d565f52dbdee3479b71e11f412a6e5f3c5f281a","","i/lf    w/crlf  attr/                 	src/app/help/walkthroughs.ts"
"src/app/pages/Backups.tsx","True","True","8965","2026-07-26T06:59:28.2259700Z","8f1e3bc863eb3c7c2805aaf8e9a0e53d02a83c56","8f1e3bc863eb3c7c2805aaf8e9a0e53d02a83c56","8f1e3bc863eb3c7c2805aaf8e9a0e53d02a83c56","","i/lf    w/mixed attr/                 	src/app/pages/Backups.tsx"
"src/app/pages/CompatibilityDashboard.tsx","True","True","7262","2026-07-26T07:01:45.4491198Z","3de5f9fa1e389c79dacbb1189bcacabb40b40783","3de5f9fa1e389c79dacbb1189bcacabb40b40783","3de5f9fa1e389c79dacbb1189bcacabb40b40783","","i/lf    w/mixed attr/                 	src/app/pages/CompatibilityDashboard.tsx"
"src/app/pages/CtLibraryExplorerPage.module.css","True","True","4582","2026-07-28T08:11:59.3680562Z","b05604b97a3a3994c538550cd96cc9179dea5a14","b05604b97a3a3994c538550cd96cc9179dea5a14","b05604b97a3a3994c538550cd96cc9179dea5a14","","i/lf    w/mixed attr/                 	src/app/pages/CtLibraryExplorerPage.module.css"
"src/app/pages/DiscoveryLab.tsx","True","True","38390","2026-07-26T07:01:03.7197152Z","9f35b49efa765477fb77ee08a42e6a8094b5bace","9f35b49efa765477fb77ee08a42e6a8094b5bace","9f35b49efa765477fb77ee08a42e6a8094b5bace","","i/lf    w/mixed attr/                 	src/app/pages/DiscoveryLab.tsx"
"src/app/pages/ExternalTrainerResearchLab.tsx","True","True","46032","2026-07-26T07:02:08.9428029Z","f97a2e8611d17ab20137d80e15d74129e15901ff","f97a2e8611d17ab20137d80e15d74129e15901ff","f97a2e8611d17ab20137d80e15d74129e15901ff","","i/lf    w/mixed attr/                 	src/app/pages/ExternalTrainerResearchLab.tsx"
"src/app/pages/Journal.tsx","True","True","8568","2026-07-28T08:12:54.4344630Z","079d729ba63d6b4ce0c8ff41997fe978c641fc33","079d729ba63d6b4ce0c8ff41997fe978c641fc33","079d729ba63d6b4ce0c8ff41997fe978c641fc33","","i/lf    w/crlf  attr/                 	src/app/pages/Journal.tsx"
"src/app/pages/Recipes.tsx","True","True","8575","2026-07-26T07:02:30.0297067Z","00be571d2a76c975956d52c767900a6cab6aae9f","00be571d2a76c975956d52c767900a6cab6aae9f","00be571d2a76c975956d52c767900a6cab6aae9f","","i/lf    w/mixed attr/                 	src/app/pages/Recipes.tsx"
"src/app/pages/RegistryExplorerPage.tsx","True","True","24773","2026-07-27T11:40:00.9660529Z","26f31833426ab0474c85bd331e6c28d35b2d041b","1f3b419282cb7d55006fb823effc501bfb342667","1f3b419282cb7d55006fb823effc501bfb342667"," M","i/lf    w/lf    attr/                 	src/app/pages/RegistryExplorerPage.tsx"
"src/app/pages/SaveEditor.tsx","True","True","17362","2026-07-26T07:03:23.5522034Z","a7736ea7164e27cac81019266601362dc673cf25","a7736ea7164e27cac81019266601362dc673cf25","a7736ea7164e27cac81019266601362dc673cf25","","i/lf    w/mixed attr/                 	src/app/pages/SaveEditor.tsx"
"src/app/pages/SaveLocations.tsx","True","True","9207","2026-07-26T07:05:20.1241306Z","beb0dddf8d34ed9d7d4d95fcd61df23db4d7f13c","beb0dddf8d34ed9d7d4d95fcd61df23db4d7f13c","beb0dddf8d34ed9d7d4d95fcd61df23db4d7f13c","","i/lf    w/mixed attr/                 	src/app/pages/SaveLocations.tsx"
"src/app/pages/SessionMonitorPage.tsx","True","True","13229","2026-07-26T07:03:50.6638651Z","257de0d45db7ac46dc437751dd20b9e4fa2807a6","257de0d45db7ac46dc437751dd20b9e4fa2807a6","257de0d45db7ac46dc437751dd20b9e4fa2807a6","","i/lf    w/mixed attr/                 	src/app/pages/SessionMonitorPage.tsx"
"src/app/pages/TrainerControlPanel.tsx","True","True","24477","2026-07-26T07:06:01.7836096Z","f38dbade0d2b332ca7365bf0cb6815e141e3a9f1","f38dbade0d2b332ca7365bf0cb6815e141e3a9f1","f38dbade0d2b332ca7365bf0cb6815e141e3a9f1","","i/lf    w/mixed attr/                 	src/app/pages/TrainerControlPanel.tsx"
